lat,lon,wind_speed
41.47201874773522,-8.787177317806849,5.2773705
41.47201874773522,-8.78467731780685,5.1766195
41.47201874773522,-8.78217731780685,5.1766195
41.47201874773522,-8.779677317806849,5.029027
41.47201874773522,-8.77717731780685,4.619061
41.47201874773522,-8.77467731780685,3.7353778
41.47201874773522,-8.772177317806849,3.5414588
41.47201874773522,-8.769677317806849,3.0655408
41.47201874773522,-8.76717731780685,3.0655408
41.47201874773522,-8.764677317806848,3.3572662
41.47201874773522,-8.762177317806849,3.5846338
41.47201874773522,-8.759677317806847,3.164277
41.47201874773522,-8.757177317806848,3.1464655
41.47201874773522,-8.754677317806848,3.2333338
41.47201874773522,-8.752177317806847,3.2333338
41.47201874773522,-8.749677317806848,2.7758925
41.47201874773522,-8.747177317806848,2.6955035
41.47201874773522,-8.744677317806847,2.9157424
41.47201874773522,-8.742177317806847,3.1274176
41.47201874773522,-8.739677317806848,3.2830634
41.47201874773522,-8.737177317806847,3.2830634
41.47201874773522,-8.734677317806847,3.2502017
41.47201874773522,-8.732177317806848,3.161495
41.47201874773522,-8.729677317806846,3.014477
41.47201874773522,-8.727177317806847,2.6119738
41.47201874773522,-8.724677317806847,2.783368
41.47201874773522,-8.722177317806846,2.783368
41.47201874773522,-8.719677317806847,2.994885
41.47201874773522,-8.717177317806847,3.1419902
41.47201874773522,-8.714677317806846,3.1186357
41.47201874773522,-8.712177317806846,3.501929
41.47201874773522,-8.709677317806845,3.1499841
41.47201874773522,-8.707177317806845,3.1499841
41.47201874773522,-8.704677317806846,3.359346
41.47201874773522,-8.702177317806845,3.2515945
41.47201874773522,-8.699677317806845,2.8006363
41.47201874773522,-8.697177317806846,2.8267634
41.47201874773522,-8.694677317806844,3.1269894
41.47201874773522,-8.692177317806845,3.1269894
41.47201874773522,-8.689677317806845,3.128445
41.47201874773522,-8.687177317806844,3.346805
41.47201874773522,-8.684677317806845,3.74102
41.47201874773522,-8.682177317806845,3.4402566
41.47201874773522,-8.679677317806844,2.4981883
41.47201874773522,-8.677177317806844,2.4981883
41.47201874773522,-8.674677317806845,2.529913
41.47201874773522,-8.672177317806844,2.303949
41.47201874773522,-8.669677317806844,2.7812667
41.47201874773522,-8.667177317806845,3.0963275
41.47201874773522,-8.664677317806843,2.9862776
41.47201874773522,-8.662177317806844,2.979145
41.47201874773522,-8.659677317806842,2.979145
41.47201874773522,-8.657177317806843,2.817991
41.47201874773522,-8.654677317806843,2.761128
41.47201874773522,-8.652177317806842,2.4381618
41.47201874773522,-8.649677317806843,2.8728223
41.47201874773522,-8.647177317806843,3.204701
41.47201874773522,-8.644677317806842,3.204701
41.47201874773522,-8.642177317806842,3.0640714
41.47201874773522,-8.639677317806843,2.7897327
41.47201874773522,-8.637177317806842,2.432859
41.47201874773522,-8.634677317806842,2.9253242
41.47201874773522,-8.632177317806843,2.9777944
41.47201874773522,-8.629677317806841,2.9777944
41.47201874773522,-8.627177317806842,3.0961723
41.47201874773522,-8.624677317806842,3.1790283
41.47201874773522,-8.622177317806841,2.8451262
41.47201874773522,-8.619677317806842,3.0118616
41.47201874773522,-8.617177317806842,2.8322566
