LAT,LON,YEAR,MO,DY,T2M
39.0,-8.125,2024,1,3,13.32
39.0,-7.5,2024,1,3,12.59
39.0,-6.875,2024,1,3,12.59
39.0,-6.25,2024,1,3,12.26
39.5,-9.375,2024,1,3,15.54
39.5,-8.75,2024,1,3,13.66
39.5,-8.125,2024,1,3,12.62
39.5,-7.5,2024,1,3,12.23
39.5,-6.875,2024,1,3,11.91
39.5,-6.25,2024,1,3,11.49
40.0,-9.375,2024,1,3,15.86
40.0,-8.75,2024,1,3,13.75
40.0,-8.125,2024,1,3,10.99
40.0,-7.5,2024,1,3,10.64
40.0,-6.875,2024,1,3,10.81
40.0,-6.25,2024,1,3,10.89
40.5,-9.375,2024,1,3,15.75
40.5,-8.75,2024,1,3,13.94
40.5,-8.125,2024,1,3,11.45
40.5,-7.5,2024,1,3,9.59
40.5,-6.875,2024,1,3,9.14
40.5,-6.25,2024,1,3,8.63
41.0,-9.375,2024,1,3,15.55
41.0,-8.75,2024,1,3,13.98
41.0,-8.125,2024,1,3,10.72
41.0,-7.5,2024,1,3,9.49
41.0,-6.875,2024,1,3,9.76
41.0,-6.25,2024,1,3,8.81
41.5,-9.375,2024,1,3,15.37
41.5,-8.75,2024,1,3,13.26
41.5,-8.125,2024,1,3,10.28
41.5,-7.5,2024,1,3,9.49
41.5,-6.875,2024,1,3,9.34
41.5,-6.25,2024,1,3,8.7
42.0,-9.375,2024,1,3,15.17
42.0,-8.75,2024,1,3,12.39
42.0,-8.125,2024,1,3,9.46
42.0,-7.5,2024,1,3,8.32
42.0,-6.875,2024,1,3,7.03
42.0,-6.25,2024,1,3,7.28
37.0,-9.375,2024,1,4,17.54
37.0,-8.75,2024,1,4,17.0
37.0,-8.125,2024,1,4,16.34
37.0,-7.5,2024,1,4,16.91
37.0,-6.875,2024,1,4,16.32
37.0,-6.25,2024,1,4,14.43
37.5,-9.375,2024,1,4,17.24
37.5,-8.75,2024,1,4,15.12
37.5,-8.125,2024,1,4,13.57
37.5,-7.5,2024,1,4,14.1
37.5,-6.875,2024,1,4,13.58
37.5,-6.25,2024,1,4,12.76
38.0,-9.375,2024,1,4,16.86
38.0,-8.75,2024,1,4,14.75
38.0,-8.125,2024,1,4,13.3
38.0,-7.5,2024,1,4,13.19
38.0,-6.875,2024,1,4,12.33
38.0,-6.25,2024,1,4,11.44
38.5,-9.375,2024,1,4,15.54
38.5,-8.75,2024,1,4,13.71
38.5,-8.125,2024,1,4,12.46
38.5,-7.5,2024,1,4,11.95
38.5,-6.875,2024,1,4,11.92
38.5,-6.25,2024,1,4,11.49
39.0,-9.375,2024,1,4,14.03
39.0,-8.75,2024,1,4,12.28
39.0,-8.125,2024,1,4,11.35
39.0,-7.5,2024,1,4,10.42
39.0,-6.875,2024,1,4,10.65
39.0,-6.25,2024,1,4,10.88
39.5,-9.375,2024,1,4,14.26
39.5,-8.75,2024,1,4,11.51
39.5,-8.125,2024,1,4,9.89
39.5,-7.5,2024,1,4,8.9
39.5,-6.875,2024,1,4,8.69
39.5,-6.25,2024,1,4,8.92
40.0,-9.375,2024,1,4,14.93
40.0,-8.75,2024,1,4,11.82
40.0,-8.125,2024,1,4,8.79
40.0,-7.5,2024,1,4,7.6
40.0,-6.875,2024,1,4,7.16
40.0,-6.25,2024,1,4,7.58
40.5,-9.375,2024,1,4,15.02
40.5,-8.75,2024,1,4,12.2
40.5,-8.125,2024,1,4,9.59
40.5,-7.5,2024,1,4,7.45
40.5,-6.875,2024,1,4,6.3
40.5,-6.25,2024,1,4,5.12
41.0,-9.375,2024,1,4,14.77
41.0,-8.75,2024,1,4,12.64
41.0,-8.125,2024,1,4,9.08
41.0,-7.5,2024,1,4,7.38
41.0,-6.875,2024,1,4,6.99
41.0,-6.25,2024,1,4,5.94
41.5,-9.375,2024,1,4,14.38
41.5,-8.75,2024,1,4,11.81
41.5,-8.125,2024,1,4,8.77
41.5,-7.5,2024,1,4,7.69
41.5,-6.875,2024,1,4,7.04
41.5,-6.25,2024,1,4,6.43
42.0,-9.375,2024,1,4,13.98
42.0,-8.75,2024,1,4,10.85
42.0,-8.125,2024,1,4,7.7
42.0,-7.5,2024,1,4,6.73
42.0,-6.875,2024,1,4,5.14
42.0,-6.25,2024,1,4,5.23
37.0,-9.375,2024,1,5,15.42
37.0,-8.75,2024,1,5,14.51
37.0,-8.125,2024,1,5,13.45
37.0,-7.5,2024,1,5,14.04
37.0,-6.875,2024,1,5,13.6
37.0,-6.25,2024,1,5,11.03
37.5,-9.375,2024,1,5,15.11
37.5,-8.75,2024,1,5,12.04
37.5,-8.125,2024,1,5,9.6
37.5,-7.5,2024,1,5,9.89
37.5,-6.875,2024,1,5,9.58
37.5,-6.25,2024,1,5,8.88
38.0,-9.375,2024,1,5,14.73
38.0,-8.75,2024,1,5,12.03
38.0,-8.125,2024,1,5,9.73
38.0,-7.5,2024,1,5,9.22
38.0,-6.875,2024,1,5,8.06
38.0,-6.25,2024,1,5,7.36
38.5,-9.375,2024,1,5,13.49
38.5,-8.75,2024,1,5,11.18
38.5,-8.125,2024,1,5,9.22
38.5,-7.5,2024,1,5,8.53
38.5,-6.875,2024,1,5,7.75
38.5,-6.25,2024,1,5,7.1
39.0,-9.375,2024,1,5,12.17
39.0,-8.75,2024,1,5,10.0
39.0,-8.125,2024,1,5,8.63
39.0,-7.5,2024,1,5,7.75
39.0,-6.875,2024,1,5,7.62
39.0,-6.25,2024,1,5,7.31
39.5,-9.375,2024,1,5,12.79
39.5,-8.75,2024,1,5,9.74
39.5,-8.125,2024,1,5,7.72
39.5,-7.5,2024,1,5,7.21
39.5,-6.875,2024,1,5,7.03
39.5,-6.25,2024,1,5,6.58
40.0,-9.375,2024,1,5,13.67
40.0,-8.75,2024,1,5,10.41
40.0,-8.125,2024,1,5,6.94
40.0,-7.5,2024,1,5,6.26
40.0,-6.875,2024,1,5,5.45
40.0,-6.25,2024,1,5,5.42
40.5,-9.375,2024,1,5,13.71
40.5,-8.75,2024,1,5,10.5
40.5,-8.125,2024,1,5,7.19
40.5,-7.5,2024,1,5,4.89
40.5,-6.875,2024,1,5,4.17
40.5,-6.25,2024,1,5,3.59
41.0,-9.375,2024,1,5,13.56
41.0,-8.75,2024,1,5,10.45
