classification,parish,lat,lon,area_m2,HDD,CDD,E_Heating,E_Cooling
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14983427166973,-8.613872160260724,319.78,969.45,221.98,1259119.24,234249.49
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14681666294288,-8.613746372603018,1183.62,969.45,221.98,4660469.94,867044.75
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14725379682528,-8.613665150746224,444.41,969.45,221.98,1749843.54,325544.99
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14758860396184,-8.617046565516675,2927.77,969.45,221.98,11527980.36,2144692.48
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14794256022308,-8.621472337441052,2297.46,969.45,221.98,122181766.27,24479519.23
Old building,Paranhos,41.175709256776244,-8.598285025123474,7173.13,969.45,221.98,381476325.22,76430038.0
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.1425233406307,-8.611380563551238,1109.11,969.45,221.98,58984091.21,11817656.91
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14264014773757,-8.610410227664307,323.85,969.45,221.98,17222859.48,3450656.61
New building,Lordelo do Ouro e Massarelos,41.15016683016405,-8.628522086521928,1977.09,969.45,221.98,7784706.06,1448284.96
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.143915609633076,-8.616403124247702,3869.31,969.45,221.98,15235229.53,2834397.81
New building,Lordelo do Ouro e Massarelos,41.14657374235784,-8.631245678841516,361.26,969.45,221.98,1422462.38,264638.24
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.15035190739007,-8.621962021720913,258.58,969.45,221.98,1018148.06,189418.65
Old building,Paranhos,41.18035533010038,-8.602827102350036,1704.92,969.45,221.98,90669740.08,18165981.01
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.15181372685445,-8.605896768886907,1058.93,969.45,221.98,4169484.77,775700.72
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.1517985341635,-8.605440203267447,321.29,969.45,221.98,1265060.13,235354.75
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.15111320058658,-8.605894561779143,396.12,969.45,221.98,1559705.88,290171.34
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.15069894619856,-8.60661181706869,313.27,969.45,221.98,1233483.86,229480.23
Commercial building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.150649238374434,-8.607261808697206,2175.21,969.45,221.98,31144795.19,5794250.69
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14406538862735,-8.613775940044524,553.57,969.45,221.98,2179643.19,405505.93
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14136743706462,-8.615840045153108,2903.81,969.45,221.98,154428471.44,30940252.8
Commercial building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14891917335112,-8.610274567697147,240.99,969.45,221.98,3450569.53,641952.04
Commercial building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14902214149505,-8.605213509081,4808.94,969.45,221.98,68854568.76,12809865.34
Old building,Ramalde,41.16476433760803,-8.643743013590079,818.1,969.45,221.98,43507344.05,8716839.65
Old building,Ramalde,41.16394582911516,-8.644020108467137,836.17,969.45,221.98,44468626.58,8909435.77
Old building,Ramalde,41.16436581649535,-8.643869404775208,785.58,969.45,221.98,41778056.25,8370371.15
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.15509766199191,-8.622936286274479,6862.08,969.45,221.98,364934214.59,73115771.66
New building,Paranhos,41.17051149039951,-8.590599684876947,8418.82,969.45,221.98,33148767.9,6167074.47
Old building,Paranhos,41.18188948702102,-8.603207103732743,1681.92,969.45,221.98,89446846.39,17920970.23
Old building,Paranhos,41.18291942565695,-8.604815945894034,11778.28,969.45,221.98,626383572.36,125498011.47
New building,"Aldoar, Foz do Douro e Nevogilde",41.16452660415811,-8.673468629208969,3339.03,969.45,221.98,13147289.03,2445952.46
New building,Paranhos,41.168777757662866,-8.594901127075797,6010.97,969.45,221.98,23667959.44,4403242.64
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14532677944979,-8.602414675224503,2370.81,969.45,221.98,9334946.21,1736695.27
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.16172050267713,-8.609049112038909,1661.2,969.45,221.98,6540912.42,1216886.68
Old building,Bonfim,41.154735656316525,-8.593147486909947,1263.91,969.45,221.98,67216274.67,13467001.98
New building,Campanhã,41.1527500858733,-8.58812733045834,3150.52,969.45,221.98,12405031.17,2307861.07
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.15796946660129,-8.6257712972976,4519.82,969.45,221.98,240369776.33,48158876.25
Old building,Paranhos,41.173434216199546,-8.610943052911065,1756.79,969.45,221.98,93428563.94,18718720.46
Old building,Lordelo do Ouro e Massarelos,41.15869186646578,-8.646301991598948,8216.26,969.45,221.98,436951085.22,87544588.85
New building,Bonfim,41.149627189380375,-8.593915588313358,251.71,969.45,221.98,991088.28,184384.39
