category,parish,lat,lon,name,address
industrial,Paranhos,41.18189664693634,-8.607241240804226,,
industrial,Paranhos,41.18081298192471,-8.605696266645317,,
industrial,Paranhos,41.18085205186426,-8.605839332856348,,
industrial,Paranhos,41.18109674132626,-8.606896008558614,,
industrial,Paranhos,41.181207300000004,-8.60684415,,
industrial,Paranhos,41.18127685065373,-8.607562434496916,,
industrial,Paranhos,41.181387249163315,-8.607509715136446,,
water,Paranhos,41.18032361972826,-8.612222964730167,Reservatório do Amial,
water,Paranhos,41.16616967790795,-8.619353764878959,Reservatório do Carvalhido,
industrial,Ramalde,41.1721841,-8.6501095,Bock,
industrial,Ramalde,41.1711185,-8.6488035,FIMAC,
industrial,Ramalde,41.1713636,-8.6490407,Hall e Ccompanhia,
industrial,Ramalde,41.1733678,-8.6509365,Majora,
industrial,Ramalde,41.1725891,-8.6505094,Openline,
industrial,Ramalde,41.1723653,-8.6503183,Paljor,
industrial,Ramalde,41.173345135707066,-8.645697813885864,RAR,
industrial,Ramalde,41.16808556111577,-8.652184837325759,Recolha Carros Limpeza Urbana - Ramalde,
industrial,Ramalde,41.1734345,-8.6515346,Rexel,
industrial,Ramalde,41.1706683,-8.6438911,S&P Portugal,
industrial,Ramalde,41.1732003,-8.6512556,Slyou,
industrial,Ramalde,41.1712304,-8.6489097,Socequi,
industrial,Ramalde,41.1730347,-8.6510518,Socorte,
industrial,Ramalde,41.1710119,-8.6487009,SparMedis,
industrial,Ramalde,41.17406838381379,-8.648112923981047,Zona Industrial do Porto,
industrial,Ramalde,41.16602407718962,-8.630095813407959,,
industrial,Ramalde,41.17560624511477,-8.64036164761256,,
industrial,Ramalde,41.17339641920994,-8.639757970364357,,
industrial,Ramalde,41.17243186895391,-8.65402364844485,,
industrial,Ramalde,41.163322850718394,-8.648155968445325,,
industrial,Ramalde,41.16340325,-8.6481113,,
industrial,Ramalde,41.16306135,-8.648211,,
industrial,Ramalde,41.16329755,-8.648142900000002,,
water,Ramalde,41.183142383449656,-8.64456273587519,Reservatório Regimento de Transmissões,
