parish,category,numPOIs
"Aldoar, Foz do Douro e Nevogilde",industrial,1
"Aldoar, Foz do Douro e Nevogilde",water,1
Bonfim,industrial,7
Bonfim,water,4
Campanhã,industrial,20
Campanhã,waste,1
"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",industrial,8
Lordelo do Ouro e Massarelos,industrial,6
Lordelo do Ouro e Massarelos,waste,1
Lordelo do Ouro e Massarelos,water,1
Paranhos,industrial,20
Paranhos,water,2
Ramalde,industrial,23
Ramalde,water,1
