parish,lat,lon,EmgVuln
paranhos,41.16979,-8.61384,0.73459
paranhos,41.17429,-8.61388,0.76407
paranhos,41.17879,-8.61391,0.79679
paranhos,41.18329,-8.61394,0.83022
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14280,-8.60769,0.78751
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14730,-8.60772,0.75900
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15180,-8.60775,0.73594
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15630,-8.60779,0.72189
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16081,-8.60782,0.71965
paranhos,41.16531,-8.60785,0.72970
paranhos,41.16981,-8.60788,0.74994
paranhos,41.17431,-8.60792,0.77689
paranhos,41.17881,-8.60795,0.80728
paranhos,41.18332,-8.60798,0.83874
bonfim,41.14282,-8.60173,0.80602
bonfim,41.14732,-8.60177,0.78095
bonfim,41.15183,-8.60180,0.76112
bonfim,41.15633,-8.60183,0.74923
bonfim,41.16083,-8.60186,0.74735
paranhos,41.16533,-8.60189,0.75582
paranhos,41.16983,-8.60193,0.77311
paranhos,41.17434,-8.60196,0.79662
paranhos,41.17884,-8.60199,0.82370
paranhos,41.18334,-8.60202,0.85230
bonfim,41.14285,-8.59578,0.82894
bonfim,41.14735,-8.59581,0.80753
bonfim,41.15185,-8.59584,0.79096
bonfim,41.15635,-8.59587,0.78121
bonfim,41.16085,-8.59591,0.77968
paranhos,41.16536,-8.59594,0.78660
paranhos,41.16986,-8.59597,0.80095
paranhos,41.17436,-8.59600,0.82086
paranhos,41.17886,-8.59603,0.84433
bonfim,41.14287,-8.58982,0.85433
bonfim,41.14737,-8.58985,0.83632
campanhã,41.15187,-8.58989,0.82266
campanhã,41.15638,-8.58992,0.81474
campanhã,41.16088,-8.58995,0.81351
bonfim,41.16538,-8.58998,0.81911
paranhos,41.16988,-8.59001,0.83086
paranhos,41.17438,-8.59004,0.84749
paranhos,41.17889,-8.59007,0.86751
campanhã,41.14289,-8.58387,0.88072
campanhã,41.14740,-8.58390,0.86565
campanhã,41.15190,-8.58393,0.85441
campanhã,41.15640,-8.58396,0.84798
campanhã,41.16090,-8.58399,0.84698
campanhã,41.16540,-8.58402,0.85152
campanhã,41.16991,-8.58405,0.86114
paranhos,41.17441,-8.58408,0.87496
paranhos,41.17891,-8.58411,0.89193
campanhã,41.14292,-8.57791,0.90714
campanhã,41.14742,-8.57794,0.89450
campanhã,41.15192,-8.57797,0.88521
campanhã,41.15642,-8.57800,0.87995
campanhã,41.16093,-8.57803,0.87913
campanhã,41.16543,-8.57806,0.88284
campanhã,41.16993,-8.57809,0.89076
campanhã,41.17443,-8.57813,0.90229
paranhos,41.17893,-8.57816,0.91666
campanhã,41.14294,-8.57196,0.93298
