parish,lat,lon,HeatLoad
paranhos,41.16979,-8.61384,0.85480
paranhos,41.17429,-8.61388,0.85349
paranhos,41.17879,-8.61391,0.85399
paranhos,41.18329,-8.61394,0.88106
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14280,-8.60769,0.86130
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14730,-8.60772,0.94511
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15180,-8.60775,0.88291
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15630,-8.60779,0.86025
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16081,-8.60782,0.89506
paranhos,41.16531,-8.60785,0.86796
paranhos,41.16981,-8.60788,0.84693
paranhos,41.17431,-8.60792,0.88917
paranhos,41.17881,-8.60795,0.88957
paranhos,41.18332,-8.60798,0.88135
bonfim,41.14282,-8.60173,0.84476
bonfim,41.14732,-8.60177,0.87358
bonfim,41.15183,-8.60180,0.86430
bonfim,41.15633,-8.60183,0.85119
bonfim,41.16083,-8.60186,0.86911
paranhos,41.16533,-8.60189,0.86718
paranhos,41.16983,-8.60193,0.88512
paranhos,41.17434,-8.60196,0.86404
paranhos,41.17884,-8.60199,0.87449
paranhos,41.18334,-8.60202,0.86360
bonfim,41.14285,-8.59578,0.87141
bonfim,41.14735,-8.59581,0.85671
bonfim,41.15185,-8.59584,0.87251
bonfim,41.15635,-8.59587,0.88686
bonfim,41.16085,-8.59591,0.86225
paranhos,41.16536,-8.59594,0.85827
paranhos,41.16986,-8.59597,0.85087
paranhos,41.17436,-8.59600,0.84192
paranhos,41.17886,-8.59603,0.91152
bonfim,41.14287,-8.58982,0.82334
bonfim,41.14737,-8.58985,0.85961
campanhã,41.15187,-8.58989,0.88880
campanhã,41.15638,-8.58992,0.84991
campanhã,41.16088,-8.58995,0.87167
bonfim,41.16538,-8.58998,0.84962
paranhos,41.16988,-8.59001,0.83721
paranhos,41.17438,-8.59004,0.86730
paranhos,41.17889,-8.59007,0.85880
campanhã,41.14289,-8.58387,0.83006
campanhã,41.14740,-8.58390,0.85751
campanhã,41.15190,-8.58393,0.88768
campanhã,41.15640,-8.58396,0.83857
campanhã,41.16090,-8.58399,0.88458
campanhã,41.16540,-8.58402,0.84893
campanhã,41.16991,-8.58405,0.84789
paranhos,41.17441,-8.58408,0.86653
paranhos,41.17891,-8.58411,0.83745
campanhã,41.14292,-8.57791,0.81821
campanhã,41.14742,-8.57794,0.83111
campanhã,41.15192,-8.57797,0.82794
campanhã,41.15642,-8.57800,0.83932
campanhã,41.16093,-8.57803,0.84238
campanhã,41.16543,-8.57806,0.85520
campanhã,41.16993,-8.57809,0.83206
campanhã,41.17443,-8.57813,0.84277
paranhos,41.17893,-8.57816,0.82008
campanhã,41.14294,-8.57196,0.80843
campanhã,41.14744,-8.57199,0.85939
campanhã,41.15194,-8.57202,0.84717
campanhã,41.15645,-8.57205,0.83013
campanhã,41.16095,-8.57208,0.84434
campanhã,41.16545,-8.57211,0.85621
campanhã,41.16995,-8.57214,0.83900
campanhã,41.17445,-8.57217,0.81216
paranhos,41.17896,-8.57220,0.83110
campanhã,41.14746,-8.56603,0.82194
campanhã,41.15197,-8.56606,0.91291
campanhã,41.15647,-8.56609,0.82815
campanhã,41.16097,-8.56612,0.84280
campanhã,41.16547,-8.56615,0.81923
campanhã,41.15199,-8.56010,0.82069
campanhã,41.15649,-8.56013,0.80874
