parish,lat,lon,UNEED,RenewPot,EmgVuln,PriorInfra,HeatInfra,HeatLoad,SocEcon
"aldoar, foz do douro e nevogilde",41.16046,-8.68526,0.45954,0.99611,0.99433,0.25902,0.09674,0.84277,0.39123
"aldoar, foz do douro e nevogilde",41.16496,-8.68530,0.45907,0.99611,0.99611,0.25902,0.09674,0.83720,0.39123
"aldoar, foz do douro e nevogilde",41.16946,-8.68534,0.45612,0.99611,1.00000,0.25902,0.09674,0.80977,0.39123
"aldoar, foz do douro e nevogilde",41.15599,-8.67927,0.45834,0.99611,0.96992,0.25902,0.09674,0.85762,0.39123
"aldoar, foz do douro e nevogilde",41.16049,-8.67930,0.45553,0.99611,0.96946,0.25902,0.09674,0.83560,0.39123
"aldoar, foz do douro e nevogilde",41.16499,-8.67934,0.45498,0.99611,0.97156,0.25902,0.09674,0.82904,0.39123
"aldoar, foz do douro e nevogilde",41.16949,-8.67938,0.45401,0.99611,0.97610,0.25902,0.09674,0.81674,0.39123
"aldoar, foz do douro e nevogilde",41.14701,-8.67324,0.44953,0.99611,0.95334,0.25902,0.09674,0.80367,0.39123
"aldoar, foz do douro e nevogilde",41.15151,-8.67327,0.45384,0.99611,0.94702,0.25902,0.09674,0.84446,0.39123
"aldoar, foz do douro e nevogilde",41.15602,-8.67331,0.45176,0.99611,0.94349,0.25902,0.09674,0.83136,0.39123
"aldoar, foz do douro e nevogilde",41.16052,-8.67335,0.45164,0.99611,0.94294,0.25902,0.09674,0.83098,0.39123
"aldoar, foz do douro e nevogilde",41.16502,-8.67338,0.45195,0.99611,0.94541,0.25902,0.09674,0.83101,0.39123
"aldoar, foz do douro e nevogilde",41.16952,-8.67342,0.45283,0.99611,0.95077,0.25902,0.09674,0.83269,0.39123
"aldoar, foz do douro e nevogilde",41.14704,-8.66728,0.44759,0.99611,0.92702,0.25902,0.09674,0.81449,0.39123
"aldoar, foz do douro e nevogilde",41.15154,-8.66732,0.45172,0.99611,0.91951,0.25902,0.09674,0.85500,0.39123
"aldoar, foz do douro e nevogilde",41.15604,-8.66735,0.45243,0.99611,0.91529,0.25902,0.09674,0.86492,0.39123
"aldoar, foz do douro e nevogilde",41.16055,-8.66739,0.45415,0.99611,0.91464,0.25902,0.09674,0.87931,0.39123
"aldoar, foz do douro e nevogilde",41.16505,-8.66743,0.45229,0.99611,0.91760,0.25902,0.09674,0.86153,0.39123
"aldoar, foz do douro e nevogilde",41.16955,-8.66746,0.45404,0.99611,0.92397,0.25902,0.09674,0.86910,0.39123
"aldoar, foz do douro e nevogilde",41.17405,-8.66750,0.45569,0.99611,0.93336,0.25902,0.09674,0.87291,0.39123
lordelo do ouro e massarelos,41.14707,-8.66132,0.59377,0.96924,0.89940,0.26511,0.40543,0.82865,0.48731
lordelo do ouro e massarelos,41.15157,-8.66136,0.59598,0.96924,0.89040,0.26511,0.40543,0.85530,0.48731
lordelo do ouro e massarelos,41.15607,-8.66140,0.59799,0.96924,0.88530,0.26511,0.40543,0.87649,0.48731
lordelo do ouro e massarelos,41.16057,-8.66143,0.59593,0.96924,0.88451,0.26511,0.40543,0.86078,0.48731
ramalde,41.16507,-8.66147,0.69511,0.94131,0.88809,0.28210,0.57500,0.88409,0.66451
"aldoar, foz do douro e nevogilde",41.16958,-8.66151,0.44974,0.99611,0.89576,0.25902,0.09674,0.86291,0.39123
ramalde,41.17408,-8.66154,0.69687,0.94131,0.90693,0.28210,0.57500,0.87937,0.66451
lordelo do ouro e massarelos,41.14709,-8.65537,0.59040,0.96924,0.87069,0.26511,0.40543,0.83035,0.48731
lordelo do ouro e massarelos,41.15160,-8.65540,0.59663,0.96924,0.85982,0.26511,0.40543,0.89108,0.48731
lordelo do ouro e massarelos,41.15610,-8.65544,0.59104,0.96924,0.85360,0.26511,0.40543,0.85260,0.48731
lordelo do ouro e massarelos,41.16060,-8.65548,0.59537,0.96924,0.85263,0.26511,0.40543,0.88822,0.48731
ramalde,41.16510,-8.65551,0.68801,0.94131,0.85701,0.28210,0.57500,0.85841,0.66451
ramalde,41.16960,-8.65555,0.68799,0.94131,0.86631,0.28210,0.57500,0.84896,0.66451
ramalde,41.17411,-8.65558,0.69370,0.94131,0.87970,0.28210,0.57500,0.88123,0.66451
lordelo do ouro e massarelos,41.14712,-8.64941,0.58621,0.96924,0.84139,0.26511,0.40543,0.82618,0.48731
lordelo do ouro e massarelos,41.15162,-8.64945,0.58882,0.96924,0.82818,0.26511,0.40543,0.86020,0.48731
