parish,UNEED
"aldoar, foz do douro e nevogilde",0.73031
bonfim,0.74221
campanhã,0.78068
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",0.71924
lordelo do ouro e massarelos,0.71846
paranhos,0.76800
ramalde,0.76408
