parish,UNEED
"aldoar, foz do douro e nevogilde",0.59048
bonfim,0.67137
campanhã,0.66744
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",0.74482
lordelo do ouro e massarelos,0.63403
paranhos,0.70969
ramalde,0.69281
